exportChunks-DR6-001-of-451,stripe09_mu504000_0/stripe09_mu504000_0.Part-001-of-003.tar
exportChunks-DR6-001-of-451,stripe09_mu504000_0/stripe09_mu504000_0.Part-002-of-003.tar
exportChunks-DR6-001-of-451,stripe09_mu504000_0/stripe09_mu504000_0.Part-003-of-003.tar
exportChunks-DR6-002-of-451,stripe09_mu504000_1/stripe09_mu504000_1.Part-001-of-003.tar
exportChunks-DR6-002-of-451,stripe09_mu504000_1/stripe09_mu504000_1.Part-002-of-003.tar
exportChunks-DR6-002-of-451,stripe09_mu504000_1/stripe09_mu504000_1.Part-003-of-003.tar
exportChunks-DR6-003-of-451,stripe09_mu614999_0/stripe09_mu614999_0.Part-001-of-003.tar
exportChunks-DR6-003-of-451,stripe09_mu614999_0/stripe09_mu614999_0.Part-002-of-003.tar
exportChunks-DR6-003-of-451,stripe09_mu614999_0/stripe09_mu614999_0.Part-003-of-003.tar
exportChunks-DR6-004-of-451,stripe09_mu614999_1/stripe09_mu614999_1.Part-001-of-004.tar
exportChunks-DR6-004-of-451,stripe09_mu614999_1/stripe09_mu614999_1.Part-002-of-004.tar
exportChunks-DR6-005-of-451,stripe09_mu614999_1/stripe09_mu614999_1.Part-003-of-004.tar
exportChunks-DR6-005-of-451,stripe09_mu614999_1/stripe09_mu614999_1.Part-004-of-004.tar
exportChunks-DR6-006-of-451,stripe09_mu723324_1/stripe09_mu723324_1.Part-001-of-006.tar
exportChunks-DR6-006-of-451,stripe09_mu723324_1/stripe09_mu723324_1.Part-002-of-006.tar
exportChunks-DR6-006-of-451,stripe09_mu723324_1/stripe09_mu723324_1.Part-003-of-006.tar
exportChunks-DR6-007-of-451,stripe09_mu723324_1/stripe09_mu723324_1.Part-004-of-006.tar
exportChunks-DR6-007-of-451,stripe09_mu723324_1/stripe09_mu723324_1.Part-005-of-006.tar
exportChunks-DR6-007-of-451,stripe09_mu723324_1/stripe09_mu723324_1.Part-006-of-006.tar
exportChunks-DR6-008-of-451,stripe09_mu724412_0/stripe09_mu724412_0.Part-001-of-006.tar
exportChunks-DR6-008-of-451,stripe09_mu724412_0/stripe09_mu724412_0.Part-002-of-006.tar
exportChunks-DR6-008-of-451,stripe09_mu724412_0/stripe09_mu724412_0.Part-003-of-006.tar
exportChunks-DR6-009-of-451,stripe09_mu724412_0/stripe09_mu724412_0.Part-004-of-006.tar
exportChunks-DR6-009-of-451,stripe09_mu724412_0/stripe09_mu724412_0.Part-005-of-006.tar
exportChunks-DR6-009-of-451,stripe09_mu724412_0/stripe09_mu724412_0.Part-006-of-006.tar
exportChunks-DR6-010-of-451,stripe10_mu439001_0/stripe10_mu439001_0.Part-001-of-004.tar
exportChunks-DR6-010-of-451,stripe10_mu439001_0/stripe10_mu439001_0.Part-002-of-004.tar
exportChunks-DR6-010-of-451,stripe10_mu439001_0/stripe10_mu439001_0.Part-003-of-004.tar
exportChunks-DR6-010-of-451,stripe10_mu439001_0/stripe10_mu439001_0.Part-004-of-004.tar
exportChunks-DR6-011-of-451,stripe10_mu439001_1/stripe10_mu439001_1.Part-001-of-004.tar
exportChunks-DR6-011-of-451,stripe10_mu439001_1/stripe10_mu439001_1.Part-002-of-004.tar
exportChunks-DR6-012-of-451,stripe10_mu439001_1/stripe10_mu439001_1.Part-003-of-004.tar
exportChunks-DR6-012-of-451,stripe10_mu439001_1/stripe10_mu439001_1.Part-004-of-004.tar
exportChunks-DR6-013-of-451,stripe10_mu522543_0/stripe10_mu522543_0.Part-001-of-010.tar
exportChunks-DR6-013-of-451,stripe10_mu522543_0/stripe10_mu522543_0.Part-002-of-010.tar
exportChunks-DR6-014-of-451,stripe10_mu522543_0/stripe10_mu522543_0.Part-003-of-010.tar
exportChunks-DR6-014-of-451,stripe10_mu522543_0/stripe10_mu522543_0.Part-004-of-010.tar
exportChunks-DR6-015-of-451,stripe10_mu522543_0/stripe10_mu522543_0.Part-005-of-010.tar
exportChunks-DR6-015-of-451,stripe10_mu522543_0/stripe10_mu522543_0.Part-006-of-010.tar
exportChunks-DR6-015-of-451,stripe10_mu522543_0/stripe10_mu522543_0.Part-007-of-010.tar
exportChunks-DR6-016-of-451,stripe10_mu522543_0/stripe10_mu522543_0.Part-008-of-010.tar
exportChunks-DR6-016-of-451,stripe10_mu522543_0/stripe10_mu522543_0.Part-009-of-010.tar
exportChunks-DR6-016-of-451,stripe10_mu522543_0/stripe10_mu522543_0.Part-010-of-010.tar
exportChunks-DR6-017-of-451,stripe10_mu533284_1/stripe10_mu533284_1.Part-001-of-012.tar
exportChunks-DR6-017-of-451,stripe10_mu533284_1/stripe10_mu533284_1.Part-002-of-012.tar
exportChunks-DR6-017-of-451,stripe10_mu533284_1/stripe10_mu533284_1.Part-003-of-012.tar
exportChunks-DR6-018-of-451,stripe10_mu533284_1/stripe10_mu533284_1.Part-004-of-012.tar
exportChunks-DR6-018-of-451,stripe10_mu533284_1/stripe10_mu533284_1.Part-005-of-012.tar
exportChunks-DR6-018-of-451,stripe10_mu533284_1/stripe10_mu533284_1.Part-006-of-012.tar
